,racecourse,disttext,raceclass,count
461,6,6f 209yds,3,3
465,6,6f 209yds,7,3
471,6,7f 214yds,3,3
475,6,7f 214yds,7,3
476,6,7f 214yds,C,3
486,7,1m1f 61yds,D,3
488,7,1m3f 107yds,3,3
493,7,1m3f 206yds,4,3
497,7,1m3f 206yds,D,3
498,7,1m3f 206yds,E,3
508,7,1m6f 32yds,E,3
512,7,2m,5,3
520,7,2m1f,F,3
538,7,2m4f 110yds,F,3
563,7,5f,D,3
571,7,5f 207yds,E,3
581,7,6f 206yds,E,3
591,7,7f 214yds,D,3
592,7,7f 214yds,E,3
599,8,2m1f 110yds,F,3
642,9,2m,C,3
660,9,5f,3,3
674,9,7f,2,3
739,10,3m1f 110yds,B,3
740,10,3m1f 110yds,C,3
741,10,3m1f 110yds,D,3
753,11,1m 14yds,G,3
760,11,1m2f 36yds,C,3
764,11,1m2f 36yds,G,3
789,11,2m3f 110yds,5,3
790,11,2m3f 110yds,A,3
802,11,2m4f,C,3
819,11,5f 16yds,3,3
822,11,5f 16yds,C,3
830,11,6f 16yds,D,3
832,11,7f 16yds,3,3
887,12,6f 18yds,D,3
903,12,7f 2yds,E,3
921,13,2m1f 110yds,E,3
942,13,2m6f 110yds,3,3
952,13,2m7f 110yds,5,3
954,13,2m7f 110yds,E,3
963,13,3m 110yds,F,3
972,14,1m,6,3
984,14,1m2f 60yds,B,3
1030,14,2m3f,E,3
1031,14,2m3f 110yds,2,3
1038,14,2m3f 110yds,F,3
1054,14,3m 110yds,E,3
1097,15,1m,7,3
1114,15,1m4f,4,3
1127,15,1m5f,5,3
1153,15,2m,G,3
1251,16,7f,3,3
1255,16,7f,C,3
1294,18,1m1f 149yds,C,3
1319,18,2m1f 110yds,D,3
1354,18,5f,F,3
1365,18,6f 189yds,D,3
1374,19,2m2f,2,3
1379,19,2m2f,F,3
1397,19,2m4f,C,3
1402,19,2m6f,3,3
1412,19,3m2f 110yds,3,3
1416,19,3m3f,3,3
1434,20,1m,F,3
1454,20,1m3f,4,3
1479,20,2m,2,3
1538,21,1m4f 17yds,4,3
1556,21,1m 65yds,2,3
1567,21,5f 200yds,E,3
1598,22,1m2f 100yds,5,3
1648,22,1m3f 205yds,5,3
1653,22,1m4f,5,3
1672,22,2m,B,3
1697,22,2m4f 110yds,2,3
1703,22,2m6f,B,3
1704,22,2m6f,C,3
1711,22,2m7f 110yds,A,3
1712,22,2m7f 110yds,B,3
1726,22,3m4f 110yds,3,3
1787,23,2m5f 110yds,3,3
1796,23,3m2f,3,3
1826,24,3m,3,3
1834,24,3m1f,E,3
1835,24,4m,3,3
1836,24,4m,4,3
1867,25,3m,D,3
1868,25,3m,E,3
1878,26,2m 110yds,2,3
1882,26,2m 110yds,B,3
1888,26,2m1f,3,3
1898,26,2m2f,A,3
1913,26,2m7f 110yds,2,3
1916,26,2m7f 110yds,5,3
1920,26,3m1f,5,3
1926,26,3m3f,F,3
1976,27,1m6f 92yds,C,3
1978,27,1m6f 92yds,E,3
1992,27,2m2f,4,3
2020,27,3m1f,D,3
2040,27,6f,E,3
2068,28,1m5f 66yds,5,3
2087,29,1m1f 218yds,3,3
2111,29,1m 8yds,D,3
2126,29,2m,C,3
2145,29,5f 218yds,6,3
2159,29,7f 9yds,2,3
2165,29,7f 9yds,A,3
2188,30,1m1f,D,3
2210,30,1m2f 59yds,D,3
2216,30,1m3f 106yds,D,3
2220,30,1m4f,1,3
2251,30,1m7f 169yds,6,3
2263,30,2m,H,3
2279,30,2m4f,4,3
2280,30,2m4f,5,3
2285,30,2m7f,3,3
2331,30,6f 1yds,6,3
2360,31,2m,1,3
2371,31,2m 110yds,B,3
2391,31,3m 110yds,2,3
2398,31,3m 110yds,E,3
2399,31,3m1f,1,3
2414,32,2m4f,E,3
2437,33,2m1f,3,3
2477,33,2m5f 110yds,B,3
2479,33,2m5f 110yds,E,3
2482,33,2m6f,2,3
2485,33,2m6f,B,3
2501,33,3m,F,3
2502,33,3m,G,3
2507,33,3m4f 110yds,3,3
2513,34,1m,3,3
2539,34,1m2f 6yds,F,3
2545,34,1m3f 5yds,B,3
2546,34,1m3f 5yds,D,3
2550,34,1m4f 5yds,3,3
2573,34,2m,D,3
2589,34,2m2f 110yds,D,3
2622,34,3m 110yds,E,3
2656,34,7f,E,3
2665,35,1m,C,3
2667,35,1m,E,3
2674,35,1m2f 32yds,3,3
2691,35,1m 3yds,E,3
2692,35,1m 3yds,F,3
2704,35,1m6f 97yds,F,3
2711,35,2m,B,3
2722,35,2m 19yds,3,3
2730,35,2m4f,2,3
2754,35,5f,3,3
2784,35,7f,E,3
2809,36,1m2f,E,3
2818,36,1m4f,D,3
2836,36,5f,5,3
2848,36,6f,D,3
2867,37,2m1f,C,3
2876,37,2m3f,C,3
2903,37,3m3f,C,3
2977,38,6f 15yds,D,3
2984,39,2m,5,3
2985,39,2m 110yds,2,3
2989,39,2m 110yds,C,3
2998,39,2m4f 110yds,C,3
3008,39,3m 110yds,5,3
3014,39,3m3f,D,3
3026,40,2m1f,5,3
3070,41,1m4f 8yds,6,3
3076,41,1m 4yds,2,3
3091,41,2m1f 216yds,C,3
3097,41,2m1f 22yds,D,3
3106,41,5f,6,3
3115,41,6f,6,3
3134,42,1m1f,D,3
3136,42,1m1f,F,3
3137,42,1m1f,G,3
3148,42,1m3f,5,3
3153,42,1m6f 19yds,3,3
3170,42,5f,C,3
3181,42,6f,E,3
3191,42,7f,C,3
3208,43,1m1f,D,3
3220,43,1m4f 10yds,4,3
3224,43,1m4f 60yds,C,3
3238,43,5f,C,3
3279,44,1m6f 15yds,2,3
3281,44,1m6f 15yds,4,3
3329,45,1m1f,D,3
3366,45,2m4f 110yds,1,3
3374,45,2m4f 110yds,E,3
3385,45,2m 78yds,C,3
3407,45,7f 16yds,4,3
3425,46,2m2f 110yds,4,3
3436,46,2m5f 110yds,3,3
3444,46,2m6f,4,3
3476,47,1m3f,C,3
3483,47,1m4f,2,3
3517,47,2m,H,3
3518,47,2m1f,3,3
3520,47,2m1f,5,3
3533,47,2m4f 110yds,F,3
3547,47,3m 110yds,C,3
3558,47,3m2f,G,3
3624,48,2m5f 110yds,4,3
3630,48,2m6f 110yds,C,3
3662,49,2m3f,E,3
3700,50,1m6f,3,3
3701,50,1m6f,4,3
3703,50,1m6f,6,3
3712,50,2m4f,2,3
3730,50,5f,3,3
3731,50,5f,4,3
3734,50,6f,2,3
3738,50,6f,6,3
3749,51,1m4f,2,3
3789,51,7f,G,3
3801,52,2m 110yds,E,3
3838,53,2m4f,3,3
3850,53,2m4f 110yds,F,3
3884,54,1m 22yds,C,3
3922,54,1m6f 213yds,D,3
3952,54,2m3f,D,3
3953,54,2m3f,E,3
3956,54,2m3f 13yds,E,3
3964,54,2m5f,3,3
3967,54,2m5f,A,3
3984,54,3m5f,3,3
3985,54,3m5f,4,3
3996,54,5f 110yds,D,3
4015,54,7f 164yds,G,3
4030,55,2m,A,3
4043,55,2m3f 110yds,5,3
4076,55,3m 110yds,4,3
4123,56,3m3f 110yds,4,3
4131,57,1m2f 7yds,B,3
4158,57,1m 67yds,G,3
4162,57,2m,D,3
4168,57,3m 110yds,E,3
4174,57,5f 10yds,C,3
4196,58,1m 141yds,1,3
4242,58,2m,G,3
4244,58,2m 119yds,2,3
4255,58,2m4f 110yds,D,3
4258,58,2m4f 110yds,G,3
4259,58,3m1f,E,3
4260,58,3m1f,F,3
4274,58,5f 216yds,1,3
4310,59,2m 110yds,3,3
4368,60,1m4f,B,3
4396,60,6f,E,3
4405,60,7f,D,3
4417,61,1m2f 21yds,7,3
4437,61,1m 3yds,7,3
4448,61,1m6f 17yds,D,3
4460,61,5f 43yds,2,3
4492,62,1m 205yds,A,3
4499,62,1m 208yds,3,3
4507,62,1m2f 85yds,C,3
4509,62,1m2f 85yds,E,3
4518,62,1m2f 88yds,D,3
4521,62,1m3f 195yds,B,3
4524,62,1m3f 195yds,E,3
4529,62,1m3f 198yds,D,3
4538,62,1m5f 194yds,B,3
4540,62,1m5f 194yds,D,3
4545,62,1m5f 197yds,5,3
4556,62,1m7f 195yds,A,3
4576,62,5f,5,3
4577,62,5f,B,3
4579,62,5f,D,3
4581,62,5f 3yds,C,3
4595,62,6f 214yds,A,3
4596,62,6f 214yds,B,3
4597,62,6f 214yds,C,3
4599,62,6f 214yds,E,3
4607,62,6f 3yds,A,3
4616,62,7f 202yds,A,3
4623,62,7f 205yds,D,3
16,1,1m2f,D,2
24,1,1m4f,D,2
27,1,1m6f,3,2
34,1,2m,D,2
42,1,2m1f,4,2
51,1,2m3f 110yds,D,2
52,1,2m 45yds,1,2
88,1,5f,D,2
104,1,7f,D,2
115,2,1m,G,2
118,2,1m1f,5,2
119,2,1m1f,6,2
120,2,1m1f 20yds,2,2
145,2,1m5f 13yds,2,2
147,2,1m5f 13yds,4,2
154,2,1m6f,4,2
175,2,2m1f 105yds,3,2
179,2,2m4f,2,2
193,2,2m5f 110yds,5,2
195,2,2m6f,4,2
204,2,3m 110yds,B,2
221,2,6f,1,2
234,2,7f,F,2
235,2,7f 50yds,2,2
254,3,2m1f,G,2
255,3,2m1f 110yds,2,2
259,3,2m1f 110yds,D,2
261,3,2m4f,2,2
273,3,2m4f 110yds,E,2
287,3,3m6f,4,2
307,4,1m5f 22yds,3,2
326,4,1m 5yds,G,2
327,4,2m1f 34yds,2,2
334,4,2m1f 34yds,F,2
344,4,5f 11yds,G,2
354,4,5f 161yds,G,2
375,5,1m3f 216yds,D,2
378,5,1m3f 216yds,G,2
387,5,1m4f 16yds,G,2
391,5,2m 35yds,6,2
402,5,5f,7,2
415,5,7f 100yds,C,2
421,6,1m1f 209yds,3,2
426,6,1m1f 209yds,A,2
435,6,1m3f 196yds,7,2
446,6,5f 213yds,7,2
481,6,7f 214yds,H,2
501,7,1m4f,E,2
502,7,1m4f,F,2
521,7,2m1f 52yds,4,2
527,7,2m3f 110yds,5,2
541,7,2m5f,4,2
547,7,3m 110yds,D,2
572,7,5f 207yds,F,2
580,7,6f 206yds,D,2
582,7,6f 206yds,F,2
587,7,7f 200yds,7,2
625,9,1m5f 175yds,3,2
636,9,1m7f 177yds,D,2
658,9,3m1f 110yds,F,2
685,10,2m,3,2
705,10,2m4f,3,2
718,10,2m5f,D,2
732,10,3m 110yds,A,2
733,10,3m 110yds,B,2
745,11,1m 14yds,2,2
747,11,1m 14yds,4,2
756,11,1m2f 36yds,3,2
765,11,1m2f 36yds,H,2
770,11,1m4f 23yds,E,2
776,11,2m 110yds,B,2
782,11,2m2f,5,2
792,11,2m 49yds,5,2
852,12,1m4f 66yds,2,2
865,12,1m7f 195yds,5,2
876,12,5f 16yds,6,2
892,12,7f 122yds,6,2
920,13,2m1f 110yds,D,2
922,13,2m1f 110yds,G,2
934,13,2m3f 110yds,B,2
941,13,2m6f,E,2
964,13,3m1f 110yds,3,2
965,13,3m1f 110yds,4,2
1025,14,2m3f,2,2
1039,14,2m4f,A,2
1051,14,3m 110yds,5,2
1103,15,1m1f,2,2
1108,15,1m1f,7,2
1125,15,1m5f,3,2
1130,15,1m5f,F,2
1131,15,1m6f,1,2
1137,15,1m6f,7,2
1142,15,2m,1,2
1155,15,2m1f,C,2
1167,15,3m,3,2
1173,15,3m,G,2
1178,15,3m 110yds,D,2
1188,15,5f,7,2
1194,15,5f,G,2
1212,16,1m 114yds,C,2
1245,16,6f,5,2
1249,16,7f,1,2
1279,17,2m5f 110yds,E,2
1293,18,1m1f 149yds,7,2
1295,18,1m1f 149yds,D,2
1306,18,1m4f,G,2
1309,18,1m7f 92yds,7,2
1325,18,2m4f 110yds,C,2
1338,18,2m 93yds,4,2
1346,18,3m4f,F,2
1360,18,6f,7,2
1361,18,6f,D,2
1367,18,7f,3,2
1378,19,2m2f,E,2
1380,19,2m2f 110yds,2,2
1398,19,2m4f,D,2
1421,19,3m3f,G,2
1440,20,1m1f,6,2
1444,20,1m1f,F,2
1506,20,6f,A,2
1520,20,7f,E,2
1525,21,1m1f 36yds,B,2
1536,21,1m4f 17yds,2,2
1541,21,1m4f 17yds,A,2
1565,21,1m 65yds,G,2
1605,22,1m2f 120yds,6,2
1607,22,1m2f 120yds,B,2
1628,22,1m 30yds,6,2
1646,22,1m3f 200yds,F,2
1649,22,1m4f,1,2
1655,22,1m 58yds,5,2
1657,22,1m6f,1,2
1664,22,1m6f,E,2
1676,22,2m,F,2
1686,22,2m 45yds,E,2
1687,22,2m4f,1,2
1698,22,2m4f 110yds,3,2
1699,22,2m4f 110yds,4,2
1701,22,2m6f,2,2
1709,22,2m7f 110yds,3,2
1710,22,2m7f 110yds,4,2
1722,22,3m1f,2,2
1723,22,3m1f,4,2
1724,22,3m4f,2,2
1725,22,3m4f,3,2
1742,22,6f,6,2
1761,23,2m,3,2
1789,23,2m5f 110yds,5,2
1792,23,3m1f 110yds,3,2
1806,24,2m 110yds,2,2
1853,25,2m4f 110yds,C,2
1875,25,3m2f,G,2
1876,26,2m,D,2
1887,26,2m1f,2,2
1892,26,2m1f,E,2
1899,26,2m2f,B,2
1904,26,2m4f 110yds,4,2
1921,26,3m2f,3,2
1925,26,3m3f,E,2
1927,26,3m4f,4,2
1954,27,1m2f,D,2
1964,27,1m4f,2,2
1975,27,1m6f 92yds,5,2
2010,27,3m,A,2
2021,27,5f,1,2
2060,28,1m2f,2,2
2074,28,1m6f,6,2
2075,28,2m,2,2
2076,28,2m,6,2
2078,28,5f,3,2
2082,28,6f,2,2
2091,29,1m1f 218yds,7,2
2094,29,1m1f 218yds,G,2
2134,29,2m4f 110yds,C,2
2142,29,5f 218yds,3,2
2149,29,5f 2yds,2,2
2154,29,5f 2yds,7,2
2164,29,7f 9yds,7,2
2185,30,1m1f,5,2
2187,30,1m1f,C,2
2191,30,1m 1yds,3,2
2227,30,1m4f,B,2
2235,30,1m5f,2,2
2241,30,1m5f,C,2
2252,30,2m,1,2
2267,30,2m 110yds,C,2
2274,30,2m3f 110yds,B,2
2282,30,2m4f 110yds,4,2
2284,30,2m4f 110yds,E,2
2287,30,2m7f,5,2
2303,30,5f,B,2
2308,30,5f,G,2
2310,30,5f 6yds,4,2
2312,30,5f 6yds,6,2
2324,30,6f,f,2
2347,30,7f 140yds,1,2
2348,30,7f 140yds,3,2
2349,30,7f 140yds,4,2
2355,30,7f 140yds,F,2
2363,31,2m,A,2
2375,31,2m1f,2,2
2387,31,2m4f,F,2
2389,31,2m5f 110yds,3,2
2395,31,3m 110yds,B,2
2397,31,3m 110yds,D,2
2411,32,2m4f,5,2
2413,32,2m4f,D,2
2415,32,2m4f,F,2
2431,32,3m,G,2
2433,32,3m2f 110yds,E,2
2434,32,3m2f 110yds,F,2
2440,33,2m1f 110yds,1,2
2454,33,2m3f,2,2
2458,33,2m3f 110yds,2,2
2462,33,2m3f 110yds,B,2
2495,33,3m,2,2
2506,33,3m1f,5,2
2508,33,3m4f 110yds,4,2
2510,33,3m5f,5,2
2518,34,1m,C,2
2519,34,1m,D,2
2520,34,1m,E,2
2526,34,1m1f,D,2
2527,34,1m1f,E,2
2528,34,1m1f,F,2
2542,34,1m3f 5yds,4,2
2549,34,1m4f 5yds,2,2
2588,34,2m2f 110yds,C,2
2600,34,2m5f,2,2
2609,34,2m6f 110yds,4,2
2634,34,5f 34yds,D,2
2635,34,5f 34yds,F,2
2639,34,6f 8yds,3,2
2640,34,6f 8yds,4,2
2646,34,6f 8yds,E,2
2661,35,1m,3,2
2679,35,1m2f 32yds,C,2
2685,35,1m 3yds,3,2
2703,35,1m6f 97yds,E,2
2706,35,2m,2,2
2712,35,2m,C,2
2719,35,2m 110yds,C,2
2735,35,2m4f,C,2
2776,35,6f,G,2
2786,35,7f,G,2
2790,36,1m,4,2
2795,36,1m,E,2
2813,36,1m4f,4,2
2820,36,1m4f,F,2
2823,36,1m6f,B,2
2834,36,5f,2,2
2839,36,5f,C,2
2866,37,2m1f,B,2
2882,37,2m5f 110yds,2,2
2891,37,2m6f,B,2
2900,37,3m3f,3,2
2904,37,3m3f,D,2
2919,38,1m2f 50yds,2,2
2943,38,1m6f 15yds,A,2
2956,38,2m 9yds,3,2
2970,38,6f 15yds,2,2
2975,38,6f 15yds,7,2
2981,38,6f 15yds,H,2
2994,39,2m4f 110yds,2,2
3002,39,2m4f 110yds,G,2
3015,40,2m,2,2
3023,40,2m,G,2
3052,40,3m2f,3,2
3081,41,1m 4yds,A,2
3083,41,1m 4yds,C,2
3120,41,6f,F,2
3139,42,1m2f,3,2
3140,42,1m2f,4,2
3149,42,1m3f,6,2
3157,42,1m6f 19yds,C,2
3163,42,2m 4yds,D,2
3174,42,6f,2,2
3217,43,1m2f 190yds,5,2
3227,43,1m4f 60yds,F,2
3229,43,2m,4,2
3235,43,5f,3,2
3241,43,5f,F,2
3247,43,6f,6,2
3253,44,1m,3,2
3254,44,1m,4,2
3275,44,1m4f,C,2
3280,44,1m6f 15yds,3,2
3293,44,5f,6,2
3301,44,6f,A,2
3341,45,1m3f 91yds,D,2
3349,45,2m,4,2
3351,45,2m,D,2
3371,45,2m4f 110yds,B,2
3381,45,2m6f,E,2
3389,45,3m,B,2
3393,45,3m 110yds,A,2
3404,45,7f 16yds,1,2
3424,46,2m2f 110yds,2,2
3427,46,2m4f,2,2
3432,46,2m5f,4,2
3439,46,2m5f 110yds,B,2
3469,47,1m2f,F,2
3506,47,2m,2,2
3512,47,2m,C,2
3525,47,2m2f,4,2
3530,47,2m4f 110yds,C,2
3538,47,2m5f 110yds,C,2
3539,47,2m5f 110yds,D,2
3551,47,3m 110yds,G,2
3585,47,7f,1,2
3619,48,2m3f,G,2
3641,48,3m3f,E,2
3644,48,3m4f,4,2
3647,49,2m 110yds,5,2
3649,49,2m1f,1,2
3687,50,1m,3,2
3689,50,1m,5,2
3702,50,1m6f,5,2
3708,50,2m,6,2
3718,50,2m5f,5,2
3722,50,3m,2,2
3768,51,5f,C,2
3772,51,6f,2,2
3793,52,2m,C,2
3800,52,2m 110yds,D,2
3815,52,2m6f,3,2
3821,52,3m,C,2
3864,53,2m6f 110yds,F,2
3872,53,3m 110yds,B,2
3878,54,1m 20yds,5,2
3886,54,1m 22yds,E,2
3893,54,1m2f 110yds,G,2
3901,54,1m2f 188yds,E,2
3913,54,1m4f 56yds,D,2
3915,54,1m4f 56yds,F,2
3917,54,1m6f 135yds,E,2
3941,54,2m 110yds,C,2
3942,54,2m 110yds,D,2
3943,54,2m2f,D,2
3949,54,2m3f,1,2
3987,54,5f,6,2
3992,54,5f 110yds,4,2
4013,54,7f,5,2
4023,54,7f 26yds,E,2
4024,54,7f 26yds,G,2
4059,55,2m4f 110yds,G,2
4074,55,2m7f 110yds,D,2
4075,55,3m 110yds,3,2
4077,55,3m 110yds,5,2
4106,56,2m5f,A,2
4107,56,2m5f,D,2
4125,57,1m2f 7yds,2,2
4161,57,2m,C,2
4163,57,2m,E,2
4172,57,5f 10yds,6,2
4173,57,5f 10yds,B,2
4213,58,1m1f 79yds,f,2
4223,58,1m4f 50yds,1,2
4230,58,1m5f 194yds,2,2
4236,58,1m6f 166yds,D,2
4240,58,1m6f 166yds,H,2
4245,58,2m 119yds,3,2
4257,58,2m4f 110yds,F,2
4281,58,6f,B,2
4331,59,2m7f 110yds,4,2
4337,59,3m,B,2
4371,60,1m4f,E,2
4372,60,1m5f,2,2
4381,60,2m 24yds,B,2
4412,61,1m2f 21yds,2,2
4442,61,1m6f 17yds,1,2
4452,61,2m,3,2
4456,61,2m,C,2
4458,61,2m,F,2
4467,61,6f 3yds,2,2
4472,61,6f 3yds,7,2
4481,61,7f 3yds,7,2
4486,61,7f 3yds,G,2
4490,62,1m,4,2
4493,62,1m 205yds,B,2
4496,62,1m 205yds,E,2
4501,62,1m 208yds,5,2
4503,62,1m 208yds,B,2
4504,62,1m 208yds,D,2
4517,62,1m2f 88yds,C,2
4525,62,1m3f 198yds,3,2
4527,62,1m3f 198yds,B,2
4535,62,1m4f,5,2
4547,62,1m5f 197yds,B,2
4557,62,1m7f 198yds,1,2
4558,62,1m7f 198yds,A,2
4569,62,2m 88yds,2,2
4580,62,5f 3yds,B,2
4598,62,6f 214yds,D,2
4602,62,6f 217yds,A,2
4604,62,6f 217yds,C,2
4609,62,6f 3yds,C,2
4615,62,7f,5,2
4621,62,7f 205yds,A,2
25,1,1m4f,E,1
31,1,2m,4,1
33,1,2m,C,1
45,1,2m3f,4,1
105,2,1m,1,1
113,2,1m,E,1
116,2,1m,H,1
117,2,1m1f,3,1
121,2,1m1f 20yds,3,1
138,2,1m2f,H,1
139,2,1m2f 192yds,1,1
140,2,1m2f 192yds,3,1
141,2,1m2f 192yds,5,1
153,2,1m5f 13yds,H,1
155,2,1m6f,5,1
156,2,1m7f,3,1
158,2,1m7f,5,1
161,2,1m7f,E,1
174,2,2m1f 105yds,2,1
194,2,2m6f,2,1
197,2,2m6f,C,1
198,2,2m6f,D,1
216,2,5f,7,1
217,2,5f,A,1
228,2,6f,C,1
231,2,6f,H,1
244,2,7f 50yds,H,1
249,3,2m1f,B,1
256,3,2m1f 110yds,3,1
271,3,2m4f 110yds,5,1
282,3,3m 110yds,2,1
288,4,1m2f 46yds,2,1
297,4,1m3f 144yds,2,1
314,4,1m 5yds,2,1
319,4,1m 5yds,7,1
321,4,1m 5yds,B,1
328,4,2m1f 34yds,3,1
345,4,5f 161yds,2,1
364,5,1m 100yds,H,1
369,5,1m1f 207yds,7,1
374,5,1m1f 207yds,H,1
379,5,1m4f 16yds,3,1
383,5,1m4f 16yds,7,1
384,5,1m4f 16yds,D,1
388,5,1m4f 16yds,H,1
392,5,2m 35yds,C,1
403,5,5f,A,1
408,5,5f,H,1
410,5,7f 100yds,3,1
414,5,7f 100yds,7,1
419,5,7f 100yds,G,1
420,5,7f 100yds,H,1
440,6,1m3f 196yds,H,1
441,6,5f 213yds,2,1
442,6,5f 213yds,3,1
447,6,5f 213yds,C,1
452,6,5f 59yds,3,1
460,6,5f 59yds,H,1
470,6,6f 209yds,H,1
482,7,1m1f 61yds,3,1
490,7,1m3f 107yds,5,1
492,7,1m3f 206yds,3,1
494,7,1m3f 206yds,5,1
496,7,1m3f 206yds,7,1
500,7,1m4f,D,1
503,7,1m6f 32yds,3,1
514,7,2m1f,2,1
522,7,2m1f 52yds,5,1
525,7,2m3f 110yds,3,1
528,7,2m4f,1,1
529,7,2m4f,2,1
536,7,2m4f 110yds,D,1
539,7,2m5f,2,1
542,7,2m5f,5,1
549,7,3m 110yds,F,1
550,7,3m1f,2,1
551,7,3m1f,3,1
554,7,3m1f,F,1
557,7,3m4f,3,1
558,7,3m4f,5,1
562,7,5f,7,1
576,7,6f 192yds,7,1
593,7,7f 214yds,F,1
601,8,2m5f,E,1
617,9,1m3f 214yds,2,1
632,9,1m5f 175yds,G,1
650,9,2m3f,C,1
693,10,2m 110yds,C,1
709,10,2m4f 110yds,4,1
710,10,2m4f 110yds,A,1
711,10,2m4f 110yds,B,1
734,10,3m 110yds,D,1
742,10,3m2f,B,1
743,10,3m2f,D,1
746,11,1m 14yds,3,1
754,11,1m 14yds,H,1
755,11,1m2f 36yds,1,1
796,11,2m4f,2,1
805,11,2m4f,F,1
811,11,3m,A,1
815,11,3m,E,1
824,11,5f 16yds,H,1
826,11,6f 16yds,4,1
840,11,7f 16yds,H,1
853,12,1m4f 66yds,3,1
869,12,5f 110yds,2,1
870,12,5f 110yds,3,1
875,12,5f 16yds,5,1
882,12,6f 18yds,2,1
905,13,2m1f,2,1
909,13,2m1f,A,1
935,13,2m3f 110yds,D,1
940,13,2m6f,D,1
944,13,2m6f 110yds,5,1
957,13,3m,5,1
960,13,3m 110yds,C,1
983,14,1m2f 60yds,A,1
988,14,1m2f 60yds,F,1
999,14,1m4f,F,1
1002,14,1m6f 132yds,3,1
1021,14,2m2f,2,1
1022,14,2m2f,3,1
1028,14,2m3f,C,1
1029,14,2m3f,D,1
1042,14,2m4f,F,1
1043,14,2m4f,G,1
1055,14,3m2f,3,1
1056,14,3m2f,4,1
1057,14,5f,1,1
1066,14,5f 140yds,1,1
1068,14,5f 140yds,3,1
1090,14,7f,F,1
1092,15,1m,2,1
1098,15,1m,B,1
1102,15,1m,G,1
1104,15,1m1f,3,1
1112,15,1m4f,2,1
1117,15,1m4f,7,1
1118,15,1m4f,C,1
1129,15,1m5f,D,1
1148,15,2m,A,1
1154,15,2m1f,2,1
1156,15,2m1f,D,1
1157,15,2m1f,F,1
1158,15,2m1f,G,1
1159,15,2m2f 37yds,5,1
1163,15,2m4f,C,1
1169,15,3m,5,1
1174,15,3m 110yds,2,1
1180,15,3m 110yds,F,1
1181,15,3m3f,F,1
1182,15,5f,1,1
1189,15,5f,B,1
1200,15,7f 30yds,7,1
1201,15,7f 30yds,C,1
1207,16,1m 114yds,3,1
1215,16,1m2f 18yds,1,1
1234,16,5f,1,1
1241,16,5f,D,1
1250,16,7f,2,1
1268,17,2m 110yds,E,1
1288,17,3m 110yds,5,1
1298,18,1m1f 149yds,G,1
1302,18,1m4f,7,1
1311,18,2m,3,1
